BehaviorSpace results (NetLogo 7.0.2),Table version 2.0,,,,,,,
modelo_base_secundarios_2.nlogox,,,,,,,,
experimento-patrones-edad,,,,,,,,
02/18/2026 18:57:27:218 -0600,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,
-53,53,-5,4,,,,,
[run number],learning-rate,agents-updated-per-tick,confidence-threshold,spatial-interactions?,influence-type,[step],hombres opcion A,mujeres opcion A
3,0.71,5,1,FALSE,positive,166,269,271
8,0.71,5,1,FALSE,positive,166,267,272
2,0.71,5,1,FALSE,positive,166,265,262
3,0.71,5,1,FALSE,positive,259,284,280
6,0.71,5,1,FALSE,positive,166,295,258
8,0.71,5,1,FALSE,positive,259,281,292
7,0.71,5,1,FALSE,positive,166,268,265
9,0.71,5,1,FALSE,positive,166,276,278
2,0.71,5,1,FALSE,positive,259,287,269
1,0.71,5,1,FALSE,positive,166,287,247
4,0.71,5,1,FALSE,positive,166,291,252
5,0.71,5,1,FALSE,positive,166,269,270
6,0.71,5,1,FALSE,positive,259,305,281
7,0.71,5,1,FALSE,positive,259,286,286
9,0.71,5,1,FALSE,positive,259,281,281
10,0.71,5,1,FALSE,positive,166,274,275
11,0.71,5,1,FALSE,positive,166,270,270
4,0.71,5,1,FALSE,positive,259,286,280
1,0.71,5,1,FALSE,positive,259,275,270
5,0.71,5,1,FALSE,positive,259,289,274
11,0.71,5,1,FALSE,positive,259,272,281
10,0.71,5,1,FALSE,positive,259,297,276
12,0.71,5,1,FALSE,positive,166,271,283
13,0.71,5,1,FALSE,positive,166,287,271
14,0.71,5,1,FALSE,positive,166,275,282
15,0.71,5,1,FALSE,positive,166,295,272
12,0.71,5,1,FALSE,positive,259,282,285
13,0.71,5,1,FALSE,positive,259,300,280
19,0.71,5,1,FALSE,positive,166,292,263
20,0.71,5,1,FALSE,positive,166,284,252
14,0.71,5,1,FALSE,positive,259,295,291
16,0.71,5,1,FALSE,positive,166,271,283
15,0.71,5,1,FALSE,positive,259,318,288
18,0.71,5,1,FALSE,positive,166,270,279
20,0.71,5,1,FALSE,positive,259,290,272
19,0.71,5,1,FALSE,positive,259,307,273
17,0.71,5,1,FALSE,positive,166,282,256
16,0.71,5,1,FALSE,positive,259,285,297
21,0.71,5,1,FALSE,positive,166,290,262
22,0.71,5,1,FALSE,positive,166,299,265
23,0.71,5,1,FALSE,positive,166,276,275
18,0.71,5,1,FALSE,positive,259,288,297
24,0.71,5,1,FALSE,positive,166,281,259
21,0.71,5,1,FALSE,positive,259,302,282
22,0.71,5,1,FALSE,positive,259,317,283
17,0.71,5,1,FALSE,positive,259,303,283
26,0.71,5,1,FALSE,positive,166,279,265
25,0.71,5,1,FALSE,positive,166,277,266
27,0.71,5,1,FALSE,positive,166,283,269
23,0.71,5,1,FALSE,positive,259,293,280
24,0.71,5,1,FALSE,positive,259,284,276
26,0.71,5,1,FALSE,positive,259,302,276
25,0.71,5,1,FALSE,positive,259,288,286
27,0.71,5,1,FALSE,positive,259,293,271
28,0.71,5,1,FALSE,positive,166,294,266
29,0.71,5,1,FALSE,positive,166,273,273
30,0.71,5,1,FALSE,positive,166,283,267
28,0.71,5,1,FALSE,positive,259,309,297
29,0.71,5,1,FALSE,positive,259,298,287
30,0.71,5,1,FALSE,positive,259,292,281
