BehaviorSpace results (NetLogo 7.0.2),Table version 2.0,,,,,,,
modelo_base_secundarios_2.nlogox,,,,,,,,
experimento-sexo,,,,,,,,
02/17/2026 20:23:58:633 -0600,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,
-53,53,-5,4,,,,,
[run number],learning-rate,agents-updated-per-tick,confidence-threshold,spatial-interactions?,influence-type,[step],hombres opcion A,mujeres opcion A
7,0.58,5,0,FALSE,positive,166,298,259
6,0.58,5,0,FALSE,positive,166,289,275
1,0.58,5,0,FALSE,positive,166,286,278
3,0.58,5,0,FALSE,positive,166,271,257
5,0.58,5,0,FALSE,positive,166,284,259
6,0.58,5,0,FALSE,positive,259,317,293
7,0.58,5,0,FALSE,positive,259,293,288
9,0.58,5,0,FALSE,positive,166,282,274
1,0.58,5,0,FALSE,positive,259,300,302
3,0.58,5,0,FALSE,positive,259,293,278
5,0.58,5,0,FALSE,positive,259,301,263
10,0.58,5,0,FALSE,positive,166,269,274
8,0.58,5,0,FALSE,positive,166,290,279
4,0.58,5,0,FALSE,positive,166,292,269
11,0.58,5,0,FALSE,positive,166,272,287
9,0.58,5,0,FALSE,positive,259,299,291
12,0.58,5,0,FALSE,positive,166,296,263
2,0.58,5,0,FALSE,positive,166,302,273
10,0.58,5,0,FALSE,positive,259,288,282
11,0.58,5,0,FALSE,positive,259,289,301
12,0.58,5,0,FALSE,positive,259,319,275
16,0.58,5,0,FALSE,positive,166,275,279
8,0.58,5,0,FALSE,positive,259,309,296
17,0.58,5,0,FALSE,positive,166,286,261
18,0.58,5,0,FALSE,positive,166,297,279
16,0.58,5,0,FALSE,positive,259,289,298
4,0.58,5,0,FALSE,positive,259,300,292
13,0.58,5,0,FALSE,positive,166,279,243
17,0.58,5,0,FALSE,positive,259,310,279
18,0.58,5,0,FALSE,positive,259,332,300
14,0.58,5,0,FALSE,positive,166,274,266
2,0.58,5,0,FALSE,positive,259,326,292
15,0.58,5,0,FALSE,positive,166,303,266
20,0.58,5,0,FALSE,positive,166,293,261
22,0.58,5,0,FALSE,positive,166,276,275
13,0.58,5,0,FALSE,positive,259,293,259
23,0.58,5,0,FALSE,positive,166,284,265
14,0.58,5,0,FALSE,positive,259,305,292
20,0.58,5,0,FALSE,positive,259,291,294
22,0.58,5,0,FALSE,positive,259,304,285
23,0.58,5,0,FALSE,positive,259,303,276
15,0.58,5,0,FALSE,positive,259,327,286
19,0.58,5,0,FALSE,positive,166,278,284
27,0.58,5,0,FALSE,positive,166,292,276
25,0.58,5,0,FALSE,positive,166,280,262
28,0.58,5,0,FALSE,positive,166,284,272
29,0.58,5,0,FALSE,positive,166,292,255
26,0.58,5,0,FALSE,positive,166,296,275
21,0.58,5,0,FALSE,positive,166,284,278
27,0.58,5,0,FALSE,positive,259,315,296
24,0.58,5,0,FALSE,positive,166,274,259
25,0.58,5,0,FALSE,positive,259,286,294
28,0.58,5,0,FALSE,positive,259,306,291
19,0.58,5,0,FALSE,positive,259,301,297
29,0.58,5,0,FALSE,positive,259,303,276
26,0.58,5,0,FALSE,positive,259,305,294
21,0.58,5,0,FALSE,positive,259,303,290
24,0.58,5,0,FALSE,positive,259,296,276
30,0.58,5,0,FALSE,positive,166,280,267
30,0.58,5,0,FALSE,positive,259,299,279
