BehaviorSpace results (NetLogo 7.0.2),Table version 2.0,,,,,,,
modelo_base_secundarios_3.nlogox,,,,,,,,
experimento-sexo-ajustado,,,,,,,,
02/18/2026 21:52:49:463 -0600,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,
-53,53,-5,4,,,,,
[run number],learning-rate,agents-updated-per-tick,confidence-threshold,spatial-interactions?,influence-type,[step],hombres-opcion-A,mujeres-opcion-A
2,0.17,1,1,FALSE,positive,166,290,292
7,0.17,1,1,FALSE,positive,166,288,286
3,0.17,1,1,FALSE,positive,166,285,290
9,0.17,1,1,FALSE,positive,166,287,285
4,0.17,1,1,FALSE,positive,166,295,289
2,0.17,1,1,FALSE,positive,259,288,294
8,0.17,1,1,FALSE,positive,166,290,290
7,0.17,1,1,FALSE,positive,259,289,286
6,0.17,1,1,FALSE,positive,166,288,291
1,0.17,1,1,FALSE,positive,166,288,290
5,0.17,1,1,FALSE,positive,166,286,288
9,0.17,1,1,FALSE,positive,259,287,289
10,0.17,1,1,FALSE,positive,166,292,287
3,0.17,1,1,FALSE,positive,259,285,291
10,0.17,1,1,FALSE,positive,259,294,291
5,0.17,1,1,FALSE,positive,259,285,289
4,0.17,1,1,FALSE,positive,259,296,290
1,0.17,1,1,FALSE,positive,259,291,294
8,0.17,1,1,FALSE,positive,259,293,293
6,0.17,1,1,FALSE,positive,259,289,291
14,0.17,1,1,FALSE,positive,166,289,289
11,0.17,1,1,FALSE,positive,166,282,287
14,0.17,1,1,FALSE,positive,259,288,289
15,0.17,1,1,FALSE,positive,166,288,289
12,0.17,1,1,FALSE,positive,166,287,288
11,0.17,1,1,FALSE,positive,259,284,288
20,0.17,1,1,FALSE,positive,166,285,285
12,0.17,1,1,FALSE,positive,259,288,285
13,0.17,1,1,FALSE,positive,166,289,288
15,0.17,1,1,FALSE,positive,259,289,289
17,0.17,1,1,FALSE,positive,166,286,283
20,0.17,1,1,FALSE,positive,259,283,288
19,0.17,1,1,FALSE,positive,166,285,288
18,0.17,1,1,FALSE,positive,166,291,286
16,0.17,1,1,FALSE,positive,166,285,288
13,0.17,1,1,FALSE,positive,259,288,289
17,0.17,1,1,FALSE,positive,259,285,284
24,0.17,1,1,FALSE,positive,166,285,286
19,0.17,1,1,FALSE,positive,259,282,284
18,0.17,1,1,FALSE,positive,259,292,284
23,0.17,1,1,FALSE,positive,166,285,285
21,0.17,1,1,FALSE,positive,166,285,291
16,0.17,1,1,FALSE,positive,259,286,289
24,0.17,1,1,FALSE,positive,259,281,286
23,0.17,1,1,FALSE,positive,259,287,291
22,0.17,1,1,FALSE,positive,166,286,285
21,0.17,1,1,FALSE,positive,259,287,292
30,0.17,1,1,FALSE,positive,166,290,286
30,0.17,1,1,FALSE,positive,259,293,286
26,0.17,1,1,FALSE,positive,166,288,291
22,0.17,1,1,FALSE,positive,259,290,287
25,0.17,1,1,FALSE,positive,166,290,292
27,0.17,1,1,FALSE,positive,166,288,286
26,0.17,1,1,FALSE,positive,259,291,295
28,0.17,1,1,FALSE,positive,166,287,288
25,0.17,1,1,FALSE,positive,259,289,290
29,0.17,1,1,FALSE,positive,166,291,291
27,0.17,1,1,FALSE,positive,259,291,286
28,0.17,1,1,FALSE,positive,259,289,288
29,0.17,1,1,FALSE,positive,259,288,289
