BehaviorSpace results (NetLogo 7.0.2),Table version 2.0,,,,,,,
modelo_base_secundarios_3.nlogox,,,,,,,,
experimento-sexo,,,,,,,,
02/18/2026 21:43:15:963 -0600,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,
-53,53,-5,4,,,,,
[run number],learning-rate,agents-updated-per-tick,confidence-threshold,spatial-interactions?,influence-type,[step],hombres-opcion-A,mujeres-opcion-A
4,0.58,5,1,FALSE,positive,166,329,319
5,0.58,5,1,FALSE,positive,166,302,308
8,0.58,5,1,FALSE,positive,166,310,305
3,0.58,5,1,FALSE,positive,166,312,311
6,0.58,5,1,FALSE,positive,166,310,316
2,0.58,5,1,FALSE,positive,166,326,310
9,0.58,5,1,FALSE,positive,166,309,307
4,0.58,5,1,FALSE,positive,259,352,330
5,0.58,5,1,FALSE,positive,259,332,333
1,0.58,5,1,FALSE,positive,166,315,321
7,0.58,5,1,FALSE,positive,166,307,312
3,0.58,5,1,FALSE,positive,259,351,317
8,0.58,5,1,FALSE,positive,259,330,325
9,0.58,5,1,FALSE,positive,259,321,331
6,0.58,5,1,FALSE,positive,259,337,342
7,0.58,5,1,FALSE,positive,259,333,331
2,0.58,5,1,FALSE,positive,259,363,332
12,0.58,5,1,FALSE,positive,166,300,311
1,0.58,5,1,FALSE,positive,259,347,339
13,0.58,5,1,FALSE,positive,166,321,295
12,0.58,5,1,FALSE,positive,259,344,333
13,0.58,5,1,FALSE,positive,259,334,317
14,0.58,5,1,FALSE,positive,166,329,293
10,0.58,5,1,FALSE,positive,166,311,299
11,0.58,5,1,FALSE,positive,166,324,313
16,0.58,5,1,FALSE,positive,166,312,304
18,0.58,5,1,FALSE,positive,166,307,301
14,0.58,5,1,FALSE,positive,259,336,316
16,0.58,5,1,FALSE,positive,259,327,338
18,0.58,5,1,FALSE,positive,259,333,329
17,0.58,5,1,FALSE,positive,166,317,317
19,0.58,5,1,FALSE,positive,166,318,302
10,0.58,5,1,FALSE,positive,259,331,320
15,0.58,5,1,FALSE,positive,166,326,297
11,0.58,5,1,FALSE,positive,259,348,330
20,0.58,5,1,FALSE,positive,166,320,308
17,0.58,5,1,FALSE,positive,259,332,339
15,0.58,5,1,FALSE,positive,259,342,318
21,0.58,5,1,FALSE,positive,166,308,315
22,0.58,5,1,FALSE,positive,166,327,289
19,0.58,5,1,FALSE,positive,259,336,331
23,0.58,5,1,FALSE,positive,166,324,315
21,0.58,5,1,FALSE,positive,259,343,336
22,0.58,5,1,FALSE,positive,259,345,311
20,0.58,5,1,FALSE,positive,259,339,336
24,0.58,5,1,FALSE,positive,166,311,309
25,0.58,5,1,FALSE,positive,166,325,306
27,0.58,5,1,FALSE,positive,166,311,300
23,0.58,5,1,FALSE,positive,259,342,340
26,0.58,5,1,FALSE,positive,166,314,315
28,0.58,5,1,FALSE,positive,166,308,311
24,0.58,5,1,FALSE,positive,259,338,328
25,0.58,5,1,FALSE,positive,259,355,332
27,0.58,5,1,FALSE,positive,259,324,345
26,0.58,5,1,FALSE,positive,259,340,341
30,0.58,5,1,FALSE,positive,166,302,291
28,0.58,5,1,FALSE,positive,259,346,323
29,0.58,5,1,FALSE,positive,166,314,299
30,0.58,5,1,FALSE,positive,259,319,323
29,0.58,5,1,FALSE,positive,259,335,335
